id,name,city,area,category,features,price,duration,address,hours,transport,link,tags
tenryuji,天龍寺,京都,定番,定番景點,曹源池庭園、嵐山世界遺産,¥500（庭園） / ¥800（庭園+法堂）,1小時,京都市右京區嵯峨天龍寺芒ノ開,8:30-17:00（3/21-10/20至17:30）,嵐電「嵐山駅」直達,https://www.tenryuji.com/,"['京都', '神社寺院', '自然']"
ujigami,宇治上神社,京都,私房秘境,秘境景點,世界遺產、日本最古老神社建築,免費,30分鐘,宇治市宇治塔道,自由參觀,近鐵「宇治駅」步行15分,,"['京都', '必去', '神社寺院', '免費']"
hogonin,寶嚴院,京都,私房秘境,秘境景點,賞楓期間特別開放、嵐山人氣寺院,季節変動,1小時,京都市右京區嵐山,依季節調整,嵐電「嵐山駅」步行10分,,"['京都', '賞楓', '神社寺院', '自然']"
arashiyama-train,嵐山小火車,京都,文化體驗,文化體驗,龜岡→嵐山、賞楓季必搶,¥880（全票）,1小時,龜岡市、嵐山,天天（冬季12/1-2/28停駛）,JR「龜岡駅」擧馬場,https://www.sagano-kanko.co.jp/,"['京都', '賞楓', '自然']"
arashiyama-monkey,嵐山猴子公園,京都,定番,定番景點,山頂看猴子、俯瞰京都全市,¥850,1-2小時,京都市右京區嵯峨天龍寺芒野開,9:00-16:00,從渡月橋步行15-20分鐘,,"['京都', '自然']"
arashiyama-bamboo,嵐山竹林,京都,定番,定番景點,人氣竹林、渡月橋,免費,1小時,京都市右京區嵐山,24小時,嵐電「嵐山駅」直達,,"['京都', '自然', '免費']"
jjakkoin,常寂光寺,京都,私房秘境,秘境景點,小眾賞楓祕境、竹林,¥400,1小時,京都市右京區嵯峨小倉山,9:00-17:00,嵐電「常寂光寺駅」步行5分,,"['京都', '賞楓', '神社寺院', '自然']"
heian,平安神宮,京都,定番,定番景點,傳統建築、牡丹花苑,免費（神苑 ¥600）,1小時,京都市左京區岡崎天皇地,6:00-17:30,巴士「平安神宮」直達,https://www.heian-jingu.or.jp/,"['京都', '免費']"
byodoin,平等院,京都,私房秘境,秘境景點,鳳凰堂日幣10円圖案、世界遺産,¥600（庭園+鳳翔館）,1小時,宇治市宇治蓮華,庭園 08:45-17:30,近鐵「宇治駅」步行10分,https://www.byodoin.or.jp/,['京都']
toji,東寺（教王護國寺）,京都,私房秘境,秘境景點,五重塔（日本最高）、世界遺產、弘法市集,免費（境內）/ ¥500（金堂・講堂）,1小時,京都市南區唐橋羅町,開門 5:00 / 金堂・講堂 8:00-17:00,近鐵「東寺駅」步行6分,https://toji.or.jp/,"['京都', '必去', '神社寺院', '免費']"
toei-eigamura,東映太秦映畫村,京都,文化體驗,文化體驗,嵐京撮影所、忍者秀、武俠劇（2026/3/28重新改裝開幕）,"¥1,200-1,300（改裝後新票價）",3小時,京都市右京區太秦,9:00-17:00（改裝後可能調整）,嵐電「太秦映畫村駅」直達,https://global.toei-eigamura.com/zh/,['京都']
tofukuji,東福寺,京都,私房秘境,秘境景點,賞楓人氣第一名、通天橋,¥600（通天橋）,1.5小時,京都市伏見區深草蓮谷町,8:00-17:00,Jr 奈良線「東福寺駅」步行10分,https://www.tofukuji.jp/,"['京都', '賞楓', '神社寺院']"
hieizan,比叡山延慶寺,京都,私房秘境,秘境景點,天下不可能嶺、錠戶關,"¥1,000",3小時,京都市左京區日吉山下,8:30-17:00,睿山電鐵「八瀨比合理性前駅」纜車,https://www.hieizan.ne.jp/,"['京都', '神社寺院', '自然']"
比叡山延曆寺,比叡山延曆寺,京都,私房祕境,私房祕境,天下不可能嶺、錠戶關、世界遺產,"¥1,000",3小時,滋賀縣大津市坂本本町4220,9:00-16:30（依季節調整）,睿山電鐵「八瀨比合理性前駅」纜車,[hieizan.gr.jp](https://www.hieizan.gr.jp/zh-tw/),"['京都', '必去', '神社寺院', '自然']"
eikando,永觀堂,京都,私房秘境,秘境景點,夜楓點燈人氣第一,¥600,2小時,京都市左京區永觀堂町,9:00-17:00,巴士「南禪寺」步行3分,https://www.eikando.jp/,"['京都', '賞楓']"
kiyomizudera,清水寺,京都,定番,定番景點,清水舞臺、世界遺産、賞楓,¥500,2-3小時,京都市東山區清水1,6:00-18:00（依季節調整）,京都市巴士「清水道」步行15分,https://www.kiyomizudera.or.jp/,"['京都', '賞楓', '神社寺院']"
togetsukyo,渡月橋,京都,定番,定番景點,嵐山地標、賞楓熱點,免費,30分鐘,京都市右京區嵐山,24小時,嵐電「嵐山駅」步行10分,,"['京都', '賞楓', '自然', '免費']"
源光庵,源光庵,京都,私房祕境,私房祕境,頓悟之窗（圓窗）、迷惘之窗（方窗）、禪意寺院,¥500,1小時,京都市北區鷹峯北鷹峯町47,9:00-17:00,地下鐵北大路站轉巴士約20分,[genkouan.or.jp](https://genkouan.or.jp/cn/),"['京都', '神社寺院', '文化體驗']"
rurikoin,琉璃光院,京都,私房秘境,秘境景點,書院紅葉倒映、茶席體驗,"¥2,000",1.5小時,京都市左京區上高野水掛左,10:00-17:00（要預約）,睿山電鐵「市設左公園前駅」步行7分,https://rurikoin.com/,"['京都', '賞楓', '體驗']"
gion,祇園・花見小路,京都,定番,定番景點,藝伎文化、傳統建築,免費,1-2小時,京都市東山區祇園町,24小時（店鋪各異）,「祇園四條駅」步行10分,,"['京都', '免費']"
tea-ceremony,茶道體驗,京都,文化體驗,文化體驗,平等院（宇治）世界遺產內,"¥3,000起",1小時,宇治市宇治蓮華（平等院內）,需預約,近鐵「宇治駅」,https://www.byodoin.or.jp/,"['京都', '必去', '體驗', '文化體驗']"
西本願寺,西本願寺,京都,定番,定番,400年大銀杏、桃山時代建築（唐門）、免費參觀,免費,1小時,京都市下京區堀川通花屋町下ル,05:30-17:00,JR「京都駅」步行10分,,"['京都', '神社寺院', '自然', '免費']"
kifune,貴船神社,京都,私房秘境,秘境景點,水占卜、楓葉、流水素麵,免費,2小時,京都市左京區鞍馬內記,社 8:00-20:00,睿山電鐵「貴船口駅」巴士貴船口,https://kifunejinja.jp/,"['京都', '賞楓', '神社寺院', '免費']"
nonomiya,野宮神社,京都,定番,定番景點,竹林交會處、祈求學業/良緣,免費,30分鐘,京都市右京區嵯峨野宮町,24小時,嵐電「野宮神社駅」步行5分,,"['京都', '神社寺院', '自然', '免費']"
kinkakuji,金閣寺,京都,定番,定番景點,金色華麗、銀杏倒映,¥500,1小時,京都市北區金閣寺町,9:00-17:00,巴士「金閣寺道」直達,https://www.shokoku-ji.jp/,"['京都', '神社寺院']"
ginkakuji,銀閣寺（慈照寺）,京都,定番,定番景點,銀閣寺垣、抹茶庭園,"¥1,000（2026年4月後調整）",1小時,京都市左京區銀閣寺町,3-11月 8:30-17:00 / 12-2月 9:00-16:30,巴士「銀閣寺道」步行5分,https://www.shokoku-ji.jp/,"['京都', '神社寺院', '文化體驗']"
nishiki,錦市場,京都,文化體驗,文化體驗,京之臺所、傳統食材,免費,1小時,京都市中京區錦小路,店鋪約 9:00-18:00,「四條駅」步行5分,,"['京都', '美食', '免費']"
shorein,青蓮院,京都,私房秘境,秘境景點,夜間點燈、抹茶體驗,¥800,1小時,京都市東山區粟田口,依季節調整,巴士「岡電」步行3分,,"['京都', '體驗', '文化體驗']"
kuramadera,鞍馬寺,京都,私房秘境,秘境景點,山間修行、靈山氣息,¥500,2-3小時,京都市左京區鞍馬,9:00-17:00,睿山電鐵「鞍馬駅」直達,https://www.kuramadera.com/,"['京都', '神社寺院', '自然']"
kotodaiji,高臺寺,京都,私房秘境,秘境景點,夜間特別拜觀、燈光秀,"¥1,000（夜間特別）",1.5小時,京都市東山區靈山町,日間 9:00-18:00；夜間 18:00-22:00,「清水五條駅」步行5分,https://www.kodaiji.com/,"['京都', '神社寺院']"
ryoanji,龍安寺,京都,定番,定番景點,枯山水名家、Loy Solitude,¥600,1小時,京都市右京區龍安寺町,3-11月 8:00-17:00 / 12-2月 8:30-16:30,巴士「龍安寺前」直達,https://www.ryouanji.or.jp/,"['京都', '神社寺院', '自然']"
 ATC,ATC（亞洲太平洋航運中心）,大阪,灣區,海灣區,複合商業施設、海景,免費,1小時,大阪市港區咲洲1-1-1,10:00-20:00,「宇宙廣場駅」直通,,"['大阪', '自然', '免費']"
grand-green,GRAND GREEN OSAKA,大阪,市中心,市中心,2025新開幕複合式商城、南館55店鋪,免費（消費另計）,2-3小時,大阪市北區曾根崎新地,店鋪各異,JR「大阪駅」直達,,"['大阪', '免費']"
hep-five,HEP FIVE摩天輪,大阪,市中心,市中心,紅色摩天輪賞夜景（2026/4已恢復營業）,¥800,15分鐘,大阪市北區角田叮5-15 HEP FIVE 7F,11:00-22:45,Metro「梅田駅」步行3分,https://www.hepfive.jp/,"['大阪', '夜景']"
kitte,KITTE大阪,大阪,市中心,市中心,日本全國名產/伴手禮匯集,免費（消費另計）,1小時,大阪市北區梅新2-1-2,11:00-20:00,JR「大阪駅」步行5分,,"['大阪', '免費']"
nintendo-osaka,Nintendo OSAKA,大阪,市中心,市中心,任天堂直營店、遊戲主題商品、限定商品、大雕像打卡,免費（購物另計）,1小時,大阪市北區梅田大丸百貨13F,9:00-21:45,JR「大阪駅」步行5分,https://store.nintendo.co.jp/,"['大阪', '主題樂園', 'ACG/玩具', '免費']"
usj,USJ 日本環球影城,大阪,環球影城,主題樂園,超級任天堂世界、哈利波特魔法世界、小小兵樂園、25週年慶,"¥8,900-11,900（浮動票價）",半天至一天,大阪市此花區櫻島二丁目1-33,9:00-21:00（依日期調整）,JR櫻島線「USJ駅」直達,https://www.usj.co.jp/,"['大阪', '主題樂園', 'ACG/玩具']"
teamlab-長居植物園,teamLab 長居植物園,大阪,其他,其他,夜間常設光影藝術展、室外植物園變身互動藝術空間,"¥1,800",2小時,大阪市東住吉區長居公園1-23,19:30-21:30（僅夜間開放，依季節調整）,JR「長居駅」步行10分,[teamlab.art](https://www.teamlab.art/zh-hant/e/botanicalgarden/),"['大阪', '體驗']"
一心寺-骨佛寺-,一心寺（骨佛寺）,大阪,其他,其他,信徒骨灰製成佛像「骨佛」、前衛建築美學、解構主義仁王門,免費,1小時,大阪市天王寺區逢阪2-8-69,9:00-16:00,JR／Metro「天王寺駅」步行15分,[isshinji.or.jp](https://www.isshinji.or.jp/),"['大阪', '神社寺院', '免費']"
nakanoshima,中之島公園,大阪,市中心,市中心,玫瑰園、中央公會堂,免費,1小時,大阪市中央區中之島,24小時,Metro 御堂筋線「澱屋橋駅」步行5分,,"['大阪', '免費']"
katsuoji,勝尾寺,大阪,其他,其他區域,達摩不倒翁、許願、秋季夜楓點燈,¥500,1-2小時,箕面市栗生間谷,8:00-17:00,千里中央站搭巴士約20分,,"['大阪', '賞楓', '神社寺院']"
conan,名偵探柯南（コナン）聖地,大阪,動漫聖地,動漫聖地,動漫聖地巡禮,,半天,,,,,"['大阪', 'ACG/玩具']"
sakishima,咲洲餐廳棧橋,大阪,灣區,海灣區,浪漫夜景、美食,免費（餐飲另計）,1小時,大阪市港區咲洲1,施設 11:00-23:00,Metro 輕軌咲洲線「咲洲」,,"['大阪', '美食', '夜景', '免費']"
shitennoji,四天王寺,大阪,其他,其他區域,日本最古老大寺、飛鳥時期建造、本坊庭園,免費／¥300（本坊庭園）,1小時,大阪市天王寺區天才庵町19,極樂門 8:30-16:30,Jr 環狀線「天王寺駅」步行5分,https://www.shitennoji.or.jp/,"['大阪', '必去', '神社寺院', '免費']"
國立國際美術館,國立國際美術館,大阪,市中心,市中心,安藤忠雄設計建築、地下展覽館、藝術展覽,¥430（收藏展）,1-2小時,大阪市中央區中之島4-2-55,10:00-17:00（16:30停止入內）,Metro 四橋線「肥後橋駅」步行10分,[nmao.jp](https://www.nmao.jp/),['大阪']
burlesque-osaka,大阪ritz marine（Burlesque Osaka）,大阪,其他,其他,脫衣舞表演秀、外國遊客友善,"¥3,000～5,000",2-2.5小時,大阪市中央區宗右衛門町,晚間表演,Metro「心齋橋駅」步行5分,,['大阪']
osaka-castle,大阪城公園,大阪,市中心,市中心,天守閣、豐臣秀吉歴史,"¥1,200（天守閣）",2小時,大阪市中央區大手前,9:00-18:00,Jr 環狀線「大阪城公園駅」直達,https://www.osakacastle.net/,['大阪']
grand-osaka-bay,大阪灣格蘭王子大飯店,大阪,灣區,灣區,2025新開幕、海景度假飯店,免費（消費另計）,下午茶/夜景,大阪市港區海岸通1,設施各異,Metro「大阪港駅」步行10分,,"['大阪', '自然', '免費']"
osaka-living,大阪生活今昔館,大阪,市中心,市中心,瞭解江戶時代大阪、和服體驗,¥600,1小時,大阪市北區天神橋筋6,10:00-17:00,Metro 谷町線「天神橋筋六丁目駅」直達,https://www.osaka-living.com/,"['大阪', '體驗', '文化體驗']"
osaka-bus,大阪雙層巴士,大阪,市中心,市中心,隨上隨下巴士、遊覽市區,"¥2,000/一日",2小時,上車點：大阪駅等多處,班次約30分一班,各巴士站上車,,['大阪']
tempozan,天保山摩天輪,大阪,灣區,海灣區,可看夕陽與大阪灣夜景,¥900,30分鐘,大阪市港區海岸通1-1-10,平日 10:00-21:00 / 週末 10:00-22:00,「大阪港駅」步行5分,https://www.tenpozan.com/,"['大阪', '夜景', '自然']"
tennoji-park,天王寺公園,大阪,其他,其他區域,動物園、植物園,¥200,1小時,大阪市天王寺區天才庵町,9:30-17:00,「天王寺駅」步行5分,,"['大阪', '神社寺院', '主題樂園']"
tenjinbashi,天神橋筋商店街,大阪,市中心,市中心,日本最長商店街（2.6km）、800家店鋪,免費,1-2小時,大阪市北區天神橋筋,店鋪各異,Metro 谷町線「天神橋筋六丁目駅」,,"['大阪', '免費']"
kishiwada,岸和田城,大阪,其他,其他區域,城下町風情、櫻花,¥400,1小時,岸和州市町大街4,9:30-17:00,南海「岸和田駅」步行5分,,['大阪']
shinsaibashi,心齋橋商店街,大阪,市中心,市中心,購物天堂、日系品牌、藥妝,免費,2-3小時,大阪市中央區心齋橋筋,店鋪 10:00-20:00,Metro 禦堂筋線「心齋橋駅」直達,,"['大阪', '購物', '免費']"
ebisu-jinja,恵美須町公式占卜神社,大阪,其他,其他區域,生意興隆、財運、占卜,免費,30分鐘,大阪市西街區恵美須町2,24小時,「恵美須町駅」步行3分,,"['大阪', '神社寺院', '免費']"
tsutenkaku,新世界・通天閣,大阪,市中心,市中心,昭和復古風情街區、誇張招牌、串炸 Ike炸豬排,¥900（登塔）,1.5小時,大阪市浪速區恵美須東1-18-6,9:00-21:45,Jr 環狀線「新世界駅」步行5分,https://www.tsutenkaku.co.jp/,['大阪']
日本橋電器街-電電城-,日本橋電器街（電電城）,大阪,市中心,市中心,關西秋葉原、動漫/模型/公仔/二手遊戲店、女僕咖啡廳,免費,1-2小時,大阪市中央區日本橋,店鋪約 11:00-20:00,Metro 禦堂筋線／四橋線「心齋橋駅」或「日本橋駅」,,"['大阪', '主題樂園', 'ACG/玩具', '免費']"
umeda-sky,梅田藍天大廈,大阪,市中心,市中心,空中庭園、夕陽/夜景,"¥2,000",1小時,大阪市北區大澱中1-1-90,9:30-22:30,JR「大阪駅」步行9分,https://www.kuchu-teisha.com/,"['大阪', '夜景']"
kaiyukan,海遊館,大阪,灣區,海灣區,世界最大水族館之一、鯨鯊、企鵝互動,"¥2,700-3,500（浮動票價）",2-3小時,大阪市港區海岸通1-1-10,9:00-21:45,Metro 中央線「大阪港駅」步行5分,https://www.kaiyukan.com/,"['大阪', '必去', '體驗', '主題樂園', '自然']"
suzumiya-haruhi,涼宮春日的憂鬱（涼宮ハルヒの憂鬱）聖地,大阪,動漫聖地,動漫聖地,動漫聖地巡禮,,2-3小時,,,,,"['大阪', 'ACG/玩具']"
minoh,箕面公園,大阪,其他,其他區域,箕面瀑布＋紅葉、大板人私房祕境,免費,2-3小時,箕面市箕面公園,24小時,阪急箕面線「箕面駅」步行40分,,"['大阪', '賞楓', '免費']"
amerikamura,美國村（アメリカ村）,大阪,市中心,市中心,美式風格、年輕潮流、潮流服飾,免費,1-2小時,大阪市中央區西心齋橋,店鋪各異,Metro「心齋橋駅」步行5分,,"['大阪', '免費']"
rinku,臨空城 Outlets,大阪,其他,其他區域,折扣名牌、關西機場旁,免費,2-3小時,泉佐野市臨空城市南風路8,10:00-20:00,Jr 關西空港線「臨空城駅」步行8分,https://www.premiumoutlets.jp/ch/shop/season/,"['大阪', '免費']"
maishima,舞洲粉蝶花祭,大阪,灣區,海灣區,百萬株粉蝶花海、4月限定,免費,1-2小時,大阪市此花區北港綠地2,4月限定,JR「西九條駅」轉巴士,,"['大阪', '賞花', '自然', '免費']"
expo70,萬博紀念公園,大阪,其他,其他區域,太陽之塔、銀杏、楓葉、自然公園,¥250（大人）,2-3小時,吹田市千里萬博公園,9:30-17:00,大阪單軌電車「萬博記念公園駅」,https://www.expo70.or.jp/,"['大阪', '賞楓']"
dotonbori,道頓堀,大阪,市中心,市中心,跑跑人、美食、大板燒、章魚燒,免費,2-3小時,大阪市中央區道頓堀,24小時（店鋪各異）,Metro 禦堂筋線「難波駅」步行5分,,"['大阪', '美食', '免費']"
harukas300,阿倍野HARUKAS 300,大阪,市中心,市中心,市區最高展望臺、360度夜景,"¥2,000",1小時,大阪市阿倍野區阿倍野筋1,9:00-22:00,「天王寺駅」直達,https://harukas300.osaka-info.jp/,"['大阪', '夜景']"
nanba-yasaka,難波八阪神社,大阪,市中心,市中心,霸氣獅子頭神殿、網美打卡,免費,30分鐘,大阪市中央區難波八阪神社,24小時,「難波駅」步行5分,https://www.nanba.org/,"['大阪', '神社寺院', '免費']"
kuromon,黑門市場,大阪,市中心,市中心,海鮮控天堂、600円品嘗各種小喫,免費（餐飲視情況）,1-2小時,大阪市中央區日本橋2-3,店鋪 9:00-18:00,Metro 禦堂筋線「日本橋駅」步行2分,,"['大阪', '美食', '自然', '免費']"
suieien,依水園,奈良,奈良,奈良,迴遊式庭園、梅花、高評分隱藏景點,"¥1,000",1小時,奈良市春日野町,9:00-17:00,近鐵「奈良駅」步行15分,,"['奈良', '賞花']"
toshodaiji,唐招提寺,奈良,奈良,奈良,鑑真建立、藥師寺,"¥1,000",1小時,奈良市五條町,8:30-17:00,「近鐵西ノ京駅」步行5分,https://www.shitoraigo.net/,"['奈良', '神社寺院']"
nara-park,奈良公園,奈良,奈良,奈良,梅花鹿、餵食體驗,免費,2小時,奈良市春日野町,24小時,Jr 奈良線「奈良駅」步行10分,,"['奈良', '賞花', '體驗', '免費']"
nara-old-town,奈良老街,奈良,奈良,奈良,傳統建築、柿葉壽司,免費,1小時,奈良市元和林町,店鋪各異,「奈良駅」步行15分,,"['奈良', '免費']"
kasugataisha,春日大社,奈良,奈良,奈良,世界遺産、萬神燈、 朱紅色燈籠,免費（本殿 special worship ¥500、國寶殿 ¥500）,1小時,奈良市春日野町,3-10月 6:30-17:30 / 11-2月 7:00-17:00,「春日大社表參道駅」直達,https://www.kasugataisha.or.jp/,"['奈良', '免費']"
todaiji,東大寺,奈良,奈良,奈良,木造大佛、世界最大木造建築,¥800,1.5小時,奈良市雑司町,4-10月 7:30-17:30 / 11-3月 8:00-17:00,「大佛殿春日大社口駅」直達,https://www.todaiji.or.jp/,"['奈良', '必去', '神社寺院']"
himuro,氷室神社,奈良,奈良,奈良,賞楓、銀杏森林,免費,1小時,奈良市氷室町,社 8:30-17:00,「氷室神社口駅」步行10分,,"['奈良', '賞楓', '神社寺院', '自然', '免費']"
horyuji,法隆寺,奈良,奈良,奈良,世界最古木造建築,"¥2,000（共通參觀券）",1.5小時,生駒市斑鳩町,2/22-11/3 8:00-17:00 / 11/4-2/21 8:00-16:30,Jr 關西線「法隆寺駅」步行15分,https://www.horyuji.or.jp/,"['奈良', '必去', '神社寺院']"
kofukuji,興福寺,奈良,奈良,奈良,五重塔、文物館、國寶佛像,¥700（套票含文物館）,1小時,奈良市登與町48,9:00-17:00,近鐵/JR「奈良駅」步行10分,https://www.kasugataisha.or.jp/,"['奈良', '神社寺院']"
wakakusa,若草山,奈良,奈良,奈良,夕陽絕景、山頂俯瞰奈良全景,¥300,1-2小時,奈良市雜司町469,9:00-17:00（10月仍開放）,從春日大社或東寺步行約30-40分鐘,,"['奈良', '夜景', '自然']"
藥師寺,藥師寺,奈良,奈良,奈良,雙塔配置世界遺產、藥師如來三聯像、唐招提寺並稱,¥800（可參觀東塔、西塔）,1-2小時,奈良市西京町457,8:30-17:00,近鐵「西之京駅」步行1分,[yakushiji.or.jp](https://www.yakushiji.or.jp/),"['奈良', '必去', '神社寺院']"
kurashiki,倉敷美觀地區,關西延伸,關西延伸,關西廣域,傳統町家、運河、美術館,免費,2-3小時,倉敷市中央,24小時,JR廣域可達（新幹線約50分）,,"['關西延伸', '免費']"
rokkosan,六甲山,關西延伸,關西延伸,關西廣域,夜景第一名、 Cheese Cake,"¥2,000",半天,神戶市灘區六甲山町,依季節調整,巴士或纜車,,"['關西延伸', '夜景', '自然']"
kitano-ijinkan,北野異人館,關西延伸,關西延伸,關西廣域,歐風建築、異國風情,"¥1,000",2小時,神戶市中央區北野町,10:00-18:00,City Loop巴士,,['關西延伸']
kinosaki,城崎溫泉,關西延伸,關西延伸,關西廣域,七大外湯巡禮、松葉蟹/但馬牛,"套票約¥1,200-1,500",1-2天,兵庫縣豐岡市城崎町,天天營業,JR城崎溫泉站可達,,"['關西延伸', '溫泉']"
himeji-zoo,姬路動物園,關西延伸,關西延伸,關西延伸,熊貓、極地動物,¥700,2小時,,,JR廣域可達,,"['關西延伸', '主題樂園']"
himeji,姬路城,關西延伸,關西延伸,關西廣域,世界遺産、白鷺城,"¥1,000",2小時,姬路市下手野,9:00-17:00,JR廣域可達（約60分 from 大阪）,,['關西延伸']
okayama-city,岡山市內,關西延伸,關西延伸,關西延伸,城山公園、鶴喘息,免費,1小時,,,JR廣域可達,,"['關西延伸', '自然', '免費']"
korakuen,後樂園（岡山）,關西延伸,關西延伸,關西廣域,日本三名園之一、優雅,¥700,2小時,岡山市北區後樂園,7:30-18:00（依季節調整）,JR廣域可達（新幹線約50分）,,"['關西延伸', '必去', '主題樂園', '自然']"
arima,有馬溫泉,關西延伸,關西延伸,關西廣域,天下三名泉、金之湯,視情況,半天,神戶市北区有馬町,天天營業,需轉巴士（從大阪站約40分）,,"['關西延伸', '溫泉']"
kobe-animal,神戶動物王國,關西延伸,關西延伸,關西廣域,羊駝、水豚、接觸體驗,"¥1,500",2小時,神戶市中央区港島,10:00-16:30,新快速可達,,"['關西延伸', '體驗', '主題樂園']"
kobe-tower,神戶港塔,關西延伸,關西延伸,關西廣域,夜景浪漫、地標,"¥1,000",1小時,神戶市中央區波止場町,10:00-22:00,JR可達,,"['關西延伸', '夜景']"
tennoji-zoo,天王寺動物園,大阪,其他,其他區域,百年歷史、市中心親子、熊貓、長頸鹿,¥500,2小時,大阪市天王寺區天才庵町,9:30-17:00（週一休園）,JR「天王寺駅」步行5分,,"['大阪', '體驗', '主題樂園']"
shinsaibashi-parco,心齋橋 PARCO,大阪,市中心,市中心,POP CULTURE動漫層：橡子共和國、哥吉拉、超人力霸王、卡普空商店、蠟筆小新、刀劍亂舞官方店、Chiikawa,免費（購物另計）,1-2小時,大阪市中央區心齋橋筋1-8-3,11:00-21:00,Metro「心齋橋駅」步行1分,https://www.parco.co.jp/,"['大阪', '購物', 'ACG/玩具']"
